instance,algorithm,run,seed,seed_status,best_length,bks,deviation_percent,archived_best_length,elapsed_seconds,segment,engine_mode,three_opt_max_iterations,record_provenance,correction_note
bayg29.tsp,ACS,8,20282118,reconstructed_from_original_experiment_scripts,1634.0,1610.0,1.4906832298136645,1634.0,0.93,small,acs_end_seq,20.0,archived_run_record,
bayg29.tsp,ACS,9,20282119,reconstructed_from_original_experiment_scripts,1649.0,1610.0,2.422360248447205,1649.0,0.93,small,acs_end_seq,20.0,archived_run_record,
bayg29.tsp,ACS,10,20282120,reconstructed_from_original_experiment_scripts,1647.0,1610.0,2.298136645962733,1647.0,1.03,small,acs_end_seq,20.0,archived_run_record,
bayg29.tsp,MMAS,1,20283111,reconstructed_from_original_experiment_scripts,1733.0,1610.0,7.639751552795031,1733.0,1.03,small,mmas,20.0,archived_run_record,
bayg29.tsp,MMAS,2,20283112,reconstructed_from_original_experiment_scripts,1711.0,1610.0,6.273291925465839,1711.0,1.02,small,mmas,20.0,archived_run_record,
bayg29.tsp,MMAS,3,20283113,reconstructed_from_original_experiment_scripts,1726.0,1610.0,7.204968944099378,1726.0,0.99,small,mmas,20.0,archived_run_record,
bayg29.tsp,MMAS,4,20283114,reconstructed_from_original_experiment_scripts,1670.0,1610.0,3.7267080745341614,1670.0,1.01,small,mmas,20.0,archived_run_record,
bayg29.tsp,MMAS,5,20283115,reconstructed_from_original_experiment_scripts,1701.0,1610.0,5.6521739130434785,1701.0,1.01,small,mmas,20.0,archived_run_record,
bayg29.tsp,MMAS,6,20283116,reconstructed_from_original_experiment_scripts,1693.0,1610.0,5.15527950310559,1693.0,1.00,small,mmas,20.0,archived_run_record,
bayg29.tsp,MMAS,7,20283117,reconstructed_from_original_experiment_scripts,1708.0,1610.0,6.086956521739131,1708.0,1.00,small,mmas,20.0,archived_run_record,
bayg29.tsp,MMAS,8,20283118,reconstructed_from_original_experiment_scripts,1711.0,1610.0,6.273291925465839,1711.0,1.01,small,mmas,20.0,archived_run_record,
