protocol_version,suite,instance,n,distance_type,segment,variant,engine_mode,run,seed,config_hash,best_length,bks,deviation_percent,ga_best_length,path_length_evaluations,distance_lookups,ga_path_evaluations,solver_path_evaluations,three_opt_path_evaluations,tour_constructions,two_opt_calls,two_opt_move_evaluations,two_opt_improvements,three_opt_calls,three_opt_candidate_evaluations,three_opt_improvements,local_search_evaluations,ga_generations,preprocessing_seconds,initialization_seconds,solver_seconds,local_search_seconds,total_seconds,switch_iteration,switch_reason
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,7,20360908,3f93938b8d98278c,26640,26524,0.437339767757503,31086,42451,4154303736,6450,36001,0,36000,0,0,0,1200,691322681,63127,691322681,42,0.0387820000178181,6.64894840001944,2696.21637830001,2513.95623499985,2702.90515890002,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,8,20360909,3f93938b8d98278c,26652,26524,0.482581812697934,31750,40201,4227771768,4200,36001,0,36000,0,0,0,1200,703623603,64427,703623603,27,0.0327101000002585,3.93231629999354,2694.16940039999,2514.3526314004,2698.13530170001,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,9,20360910,3f93938b8d98278c,26665,26524,0.531594028050068,31354,40801,4185362436,4800,36001,0,36000,0,0,0,1200,696540381,63867,696540381,31,0.0312493999954313,4.52029220000259,2679.4534156,2498.3483601998,2684.0057255,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,10,20360911,3f93938b8d98278c,26659,26524,0.508973005579852,31479,38401,4358108226,2400,36001,0,36000,0,0,0,1200,725391346,63881,725391346,15,0.0285726999863982,2.27298829998472,2763.77521640001,2584.54897060036,2766.07805809999,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,11,20360912,3f93938b8d98278c,26605,26524,0.305383803347911,31342,41701,4227913518,5700,36001,0,36000,0,0,0,1200,703609728,62461,703609728,37,0.0312381999974605,5.50587789999554,2759.3866151,2572.42965800018,2764.92501480001,130,entropy_trigger
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,12,20360913,3f93938b8d98278c,26647,26524,0.463730960639421,31262,38701,4213317090,2700,36001,0,36000,0,0,0,1200,701251990,62681,701251990,17,0.0323367000091821,2.49397460001637,2847.42977389999,2651.96143809991,2849.95750439999,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,13,20360914,3f93938b8d98278c,26674,26524,0.565525561755391,31479,38401,4408528812,2400,36001,0,36000,0,0,0,1200,733794777,62699,733794777,15,0.0347480000054929,2.29591449999134,2993.11604179998,2798.20808549988,2995.44777259999,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,14,20360915,3f93938b8d98278c,26659,26524,0.508973005579852,31497,41551,4199769306,5550,36001,0,36000,0,0,0,1200,698922776,63555,698922776,36,0.0325588999839965,5.96997040000861,2588.515671,2412.08227110002,2594.5207586,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,15,20360916,3f93938b8d98278c,26579,26524,0.207359372643643,31436,38551,4328048538,2550,36001,0,36000,0,0,0,1200,720377648,63470,720377648,16,0.0324863000132609,2.56670309999026,2096.4911629,1956.75579740005,2099.0917163,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,1,20360902,4ce816c4ab00a88a,26912,26524,1.46282611974061,31479,38401,410946530,2400,36001,0,36000,3000,101296595,121787,0,0,0,101296595,15,0.0258670000184793,2.08210100000724,499.557067299989,317.301770699647,501.665395999997,135,forced_at_window_end
