instance,algorithm,runs,bks,best,mean,std_sample,best_deviation_percent,mean_error_percent
ch130.tsp,ACS,10,6110.0,6228.0,6311.7,66.49987468659872,1.9312602291325693,3.3011456628477873
ch130.tsp,MMAS,10,6110.0,6364.0,6462.6,64.61028469902365,4.157119476268412,5.770867430441904
ch130.tsp,MSA-ACO,10,6110.0,6131.0,6141.1,8.67243397848096,0.3436988543371522,0.509001636661217
ch150.tsp,ACS,10,6528.0,6694.0,6740.4,33.59960317225984,2.542892156862745,3.25367647058823
ch150.tsp,MMAS,10,6528.0,6761.0,6815.4,23.30092988130159,3.569240196078431,4.402573529411759
ch150.tsp,MSA-ACO,10,6528.0,6528.0,6543.5,11.597413504743201,0.0,0.23743872549019607
d198.tsp,ACS,10,15780.0,16842.0,17075.0,171.62556142175714,6.730038022813687,8.206590621039291
d198.tsp,MMAS,10,15780.0,16447.0,16645.9,114.77073765652212,4.226869455006337,5.487325728770605
d198.tsp,MSA-ACO,10,15780.0,15849.0,15867.8,10.261037417770627,0.4372623574144487,0.5564005069708446
eil101.tsp,ACS,10,629.0,642.0,654.8,11.59310139695155,2.066772655007949,4.101748807631153
eil101.tsp,MMAS,10,629.0,690.0,704.0,6.79869268479038,9.697933227344992,11.92368839427663
eil101.tsp,MSA-ACO,10,629.0,629.0,631.9,2.330951164939612,0.0,0.46104928457869276
eil51.tsp,ACS,10,426.0,428.0,436.8,5.573747990954262,0.4694835680751174,2.535211267605636
eil51.tsp,MMAS,10,426.0,438.0,445.1,5.425249610233001,2.8169014084507045,4.483568075117376
eil51.tsp,MSA-ACO,10,426.0,426.0,427.2,2.097617696340303,0.0,0.28169014084506777
eil76.tsp,ACS,10,538.0,542.0,549.0,4.055175020198813,0.7434944237918215,2.0446096654275094
eil76.tsp,MMAS,10,538.0,560.0,563.6,2.1705094128132942,4.089219330855019,4.758364312267662
eil76.tsp,MSA-ACO,10,538.0,538.0,538.4,0.6992058987801011,0.0,0.07434944237917793
gil262.tsp,ACS,10,2378.0,2604.0,2636.2,23.16990385056538,9.503784693019345,10.857863751051296
gil262.tsp,MMAS,10,2378.0,2556.0,2593.3,21.530598381528247,7.485281749369217,9.053826745164011
gil262.tsp,MSA-ACO,10,2378.0,2394.0,2400.3,3.3349995835415367,0.6728343145500421,0.9377628259041287
gr137.tsp,ACS,10,69853.0,70309.0,71246.6,674.2265033190091,0.6527994502741471,1.9950467410132793
gr137.tsp,MMAS,10,69853.0,73840.0,74976.7,775.5256353668208,5.707700456673299,7.334974875810627
gr137.tsp,MSA-ACO,10,69853.0,69856.0,70006.2,113.96666179194685,0.00429473322548781,0.21931771004824
gr202.tsp,ACS,10,40160.0,44457.0,45224.4,408.4061703745427,10.699701195219124,12.610557768924307
gr202.tsp,MMAS,10,40160.0,43624.0,44652.5,488.4322425429709,8.625498007968128,11.186503984063744
gr202.tsp,MSA-ACO,10,40160.0,40648.0,40837.2,113.6434971498345,1.2151394422310757,1.6862549800796738
kroA100.tsp,ACS,10,21282.0,21666.0,21886.9,183.06917332588307,1.804341697208909,2.8423080537543535
kroA100.tsp,MMAS,10,21282.0,22503.0,22952.4,291.4211156842734,5.7372427403439525,7.848886382858761
kroA100.tsp,MSA-ACO,10,21282.0,21282.0,21282.0,0.0,0.0,0.0
kroA150.tsp,ACS,10,26524.0,28643.0,29126.9,305.57285001561684,7.988991102397828,9.813376564620727
kroA150.tsp,MMAS,10,26524.0,27870.0,28809.7,533.2529210213271,5.074649374151711,8.617478510028656
kroA150.tsp,MSA-ACO,10,26524.0,26601.0,26660.6,39.2037413180596,0.2903031217011009,0.5150052782385709
kroA200.tsp,ACS,10,29368.0,31344.0,32292.3,494.29546944222653,6.728411876872786,9.957436665758648
kroA200.tsp,MMAS,10,29368.0,31783.0,32083.5,178.78245626086098,8.223236175429038,9.24645873059112
kroA200.tsp,MSA-ACO,10,29368.0,29368.0,29418.5,34.72511099094333,0.0,0.17195587033505855
kroB100.tsp,ACS,10,22141.0,22375.0,22483.5,120.36910825549145,1.0568628336570165,1.5469039338783253
kroB100.tsp,MMAS,10,22141.0,22499.0,22939.0,293.00511940920074,1.6169098053385123,3.6041732532405946
kroB100.tsp,MSA-ACO,10,22141.0,22141.0,22148.9,24.981993515330196,0.0,0.03568041190552123
kroB150.tsp,ACS,10,26130.0,27461.0,28368.1,469.8965488984428,5.093761959433602,8.565250669728277
kroB150.tsp,MMAS,10,26130.0,27986.0,28605.0,282.66430816626126,7.102946804439342,9.47187141216992
kroB150.tsp,MSA-ACO,10,26130.0,26160.0,26218.6,32.09776731591571,0.1148105625717566,0.3390738614619156
kroB200.tsp,ACS,10,29437.0,32085.0,32524.6,288.3151053968557,8.99548187654992,10.488840574786828
kroB200.tsp,MMAS,10,29437.0,32803.0,33040.5,173.07175775768076,11.434589122532866,12.241396881475694
kroB200.tsp,MSA-ACO,10,29437.0,29559.0,29713.8,87.82280139260216,0.41444440669905225,0.9403132112647323
kroC100.tsp,ACS,10,20749.0,20943.0,21215.7,207.47586204986192,0.934984818545472,2.249265024820477
kroC100.tsp,MMAS,10,20749.0,21396.0,21634.1,207.23440833992794,3.1182225649428887,4.26574774687936
kroC100.tsp,MSA-ACO,10,20749.0,20749.0,20749.0,0.0,0.0,0.0
kroD100.tsp,ACS,10,21294.0,21710.0,22022.1,272.43039885853824,1.9536019536019535,3.419273034657643
kroD100.tsp,MMAS,10,21294.0,22290.0,22821.1,266.3337296617827,4.677373908143139,7.171503709965242
kroD100.tsp,MSA-ACO,10,21294.0,21294.0,21301.5,7.905694150420948,0.0,0.03522118906734291
kroE100.tsp,ACS,10,22068.0,22349.0,22639.3,152.3264403983906,1.273336958491934,2.588816385716872
kroE100.tsp,MMAS,10,22068.0,23192.0,23561.6,222.60538078751728,5.093347833967736,6.768171107485946
kroE100.tsp,MSA-ACO,10,22068.0,22068.0,22068.0,0.0,0.0,0.0
lin105.tsp,ACS,10,14379.0,14489.0,14602.8,78.343687258983,0.7650045204812574,1.5564364698518622
lin105.tsp,MMAS,10,14379.0,14788.0,15017.0,152.20235068997968,2.8444258988803117,4.437026218791293
lin105.tsp,MSA-ACO,10,14379.0,14379.0,14379.0,0.0,0.0,0.0
lin318.tsp,ACS,10,42029.0,45877.0,46965.7,525.9886035943281,9.155583049798949,11.745937328987122
lin318.tsp,MMAS,10,42029.0,46509.0,46798.7,244.6012855421837,10.659306669204597,11.348592638416324
lin318.tsp,MSA-ACO,10,42029.0,42522.0,42647.2,69.60651310521644,1.1729995955173809,1.4708891479692523
pr107.tsp,ACS,10,44303.0,45626.0,46155.5,514.8182527196693,2.986253752567546,4.181432408640498
pr107.tsp,MMAS,10,44303.0,45488.0,45685.5,156.26419935481064,2.6747624314380514,3.12055617001106
pr107.tsp,MSA-ACO,10,44303.0,44303.0,44316.9,30.090419294741196,0.0,0.031374850461597305
pr226.tsp,ACS,10,80369.0,85668.0,86325.6,406.641583925916,6.593338227425997,7.411564160310574
pr226.tsp,MMAS,10,80369.0,84004.0,84891.8,520.6964993587383,4.522888178277694,5.6275429581057415
pr226.tsp,MSA-ACO,10,80369.0,80444.0,80543.0,57.52873678046091,0.09331956351329493,0.2165013873508442
pr264.tsp,ACS,10,49135.0,52038.0,52548.7,333.9437910121336,5.9082120687900685,6.94759336521827
pr264.tsp,MMAS,10,49135.0,52282.0,52853.0,282.0393983510499,6.4048030935178595,7.566907499745598
pr264.tsp,MSA-ACO,10,49135.0,49189.0,49385.2,95.19897291696189,0.10990129235778977,0.5092093212577533
pr299.tsp,ACS,10,48191.0,53779.0,54319.8,615.7645293093422,11.595526135585482,12.717727376481092
pr299.tsp,MMAS,10,48191.0,54404.0,54607.7,173.62542696531773,12.892448797493309,13.315141831462302
pr299.tsp,MSA-ACO,10,48191.0,48454.0,48553.6,56.32682408152541,0.5457450561308128,0.7524226515324408
rat99.tsp,ACS,10,1211.0,1222.0,1244.8,13.31498737847276,0.9083402146985963,2.7910817506193193
rat99.tsp,MMAS,10,1211.0,1289.0,1303.4,10.679159351018434,6.4409578860445915,7.630057803468215
rat99.tsp,MSA-ACO,10,1211.0,1211.0,1211.4,0.5163977794943223,0.0,0.03303055326177464
st70.tsp,ACS,10,675.0,682.0,698.2,10.019980039900279,1.037037037037037,3.4370370370370438
st70.tsp,MMAS,10,675.0,703.0,728.1,13.067772062087196,4.148148148148148,7.866666666666671
st70.tsp,MSA-ACO,10,675.0,675.0,675.7,1.567021236472421,0.0,0.10370370370371045
swiss42.tsp,ACS,10,1273.0,1273.0,1292.1,14.60175027560433,0.0,1.500392772977212
swiss42.tsp,MMAS,10,1273.0,1293.0,1300.5,6.867799259345505,1.5710919088766693,2.16025137470542
swiss42.tsp,MSA-ACO,10,1273.0,1273.0,1273.0,0.0,0.0,0.0
ts225.tsp,ACS,10,126643.0,131689.0,132096.1,264.9203024810795,3.984428669567209,4.305883467700548
ts225.tsp,MMAS,10,126643.0,131576.0,132054.8,320.0183328081898,3.895201471853952,4.2732721113681675
ts225.tsp,MSA-ACO,10,126643.0,126726.0,126734.3,26.24690457939755,0.06553856115221529,0.07209241726743912
ulysses22.tsp,ACS,10,7013.0,7045.0,7099.8,44.243769178395176,0.45629545130471977,1.237701411664055
ulysses22.tsp,MMAS,10,7013.0,7013.0,7073.1,42.040853147067956,0.0,0.856979894481682
ulysses22.tsp,MSA-ACO,10,7013.0,7013.0,7013.0,0.0,0.0,0.0
